id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1157998943115670070,I might be cheap but you will feel right at home!,534917572,HoLmes Realty Homes,,District 2,32.81873,-96.83422,Entire home/apt,90,2,9,2024-08-11,5.51,4,212,9,
1158007112606844616,2 BR | 2 Bath | Downtown | Free Valet Parking | 7,181794187,Syed,,District 2,32.776271440700235,-96.79458788531082,Entire home/apt,76,2,10,2024-08-03,3.57,18,350,10,
1158011380090851691,Ivy Cottage,238041650,Lauren,,District 2,32.85087334853626,-96.83253743870205,Entire home/apt,265,10,0,,,1,85,0,
1158017301475878012,Gorgeous 2 Bed | 2 Bath | Downtown | Free Valet,181794187,Syed,,District 2,32.777303327841636,-96.79381271157806,Entire home/apt,92,2,2,2024-08-11,2,18,351,2,
1158071463526176490,Urban Oasis Hideaway,572734128,Rochelle,,District 14,32.8001404016715,-96.80191588813318,Entire home/apt,85,1,5,2024-08-02,2.63,2,199,5,
1158174405915882208,Oaklawn Condo Extended Stays-Private Parking Spot,69536722,Alyson,,District 2,32.80935174518666,-96.81747374232788,Entire home/apt,73,30,1,2024-07-27,1,1,268,1,
1158199700486894272,"Cozy DT Loft | Free Valet, 24HR Gym, Pool",491680615,Edward,,District 2,32.77651705438942,-96.79493713210952,Entire home/apt,63,1,10,2024-08-01,3.33,5,335,10,
1158204681943184294,"Spacious DT Loft | Workspace, Free Valet, 24HR Gym",491680615,Edward,,District 2,32.77840384028484,-96.79498904180028,Entire home/apt,54,1,13,2024-08-10,4.29,5,347,13,
1158210075796192394,Dallas Oasis Master Studio Stay,87286819,Miguel,,District 7,32.7678,-96.6605,Private room,50,1,2,2024-07-29,1.43,3,267,2,
1158311580623344439,soft cozy topbunk  bed in a shared room,532616509,Charles,,District 10,32.91423,-96.7325,Shared room,22,1,6,2024-08-09,2.47,7,89,6,
1158326750181929430,Mockingbird Lane Desert Boho,64242304,Megan,,District 14,32.8362905,-96.76394979999999,Entire home/apt,229,1,1,2024-08-04,1,14,117,1,
1158349918346811557,Your Comfort Zones,70434115,Janet,,District 4,32.6977107,-96.8543279,Entire home/apt,120,1,4,2024-07-28,1.50,4,252,4,
1158401379903152898,M135 - 3 HOMES on the SAME Street-Up to 31 Guests,435498255,Leslie,,District 2,32.8023758,-96.78451849999999,Entire home/apt,2314,1,0,,,19,262,0,
1158632814984591347,Clean/New Studio1 - 6 Mins from Love Field Airport,89873937,John,,District 2,32.81852,-96.86433,Entire home/apt,89,1,26,2024-08-12,12.00,16,265,26,
1158672485720488726,Unique Stay - Near Downtown & Bishop Arts,45283689,Sue,,District 1,32.744137438347394,-96.87210873731144,Entire home/apt,127,2,11,2024-08-12,4.34,1,147,11,
1158696172734388237,Dallas Studio w/ Home Office - 4 Mi to Fair Park!,456475914,Evolve,,District 5,32.76015,-96.69701,Entire home/apt,82,30,0,,,37,364,0,
1158696328602882281,WFH-Friendly Studio - 7 Mi to Downtown Dallas!,456475914,Evolve,,District 5,32.76043,-96.6978,Entire home/apt,71,30,0,,,37,364,0,
1158932595256345179,Green Rhodonite,578156795,Catherine,,District 3,32.70512961543028,-96.85890767723322,Private room,41,5,0,,,3,180,0,
1159288177497203526,3 Bedroom Home Near Lovefield,165899088,Eish,,District 2,32.82681791223124,-96.82753056339946,Entire home/apt,104,1,5,2024-07-28,1.81,1,148,5,
1159345833172876356,Dallas Retreat - Central & Chic!,560356918,Erik,,District 12,32.988684053142606,-96.84766704496275,Entire home/apt,89,1,5,2024-07-20,2.24,1,166,5,
